municipio,codigo_ibge,mesorregiao,populacao,renda_per_capita,lat,lon,tem_museu,tem_teatro_sala_espetaculo,tem_cinema,tem_biblioteca,n_equipamentos
Fortaleza,2304400,Metropolitana de Fortaleza,2428708,1668.98,-3.723805035,-38.589927555,True,True,True,True,4
Caucaia,2303709,Metropolitana de Fortaleza,355679,947.97,-3.736487,-38.6640175358,True,True,True,True,4
Juazeiro do Norte,2307304,Sul Cearense,286120,1021.94,-7.210766,-39.3169933556,True,True,True,True,4
Maracanaú,2307650,Metropolitana de Fortaleza,234509,910.74,-3.876964451,-38.6244186466,False,True,False,True,2
Sobral,2312908,Noroeste Cearense,203023,1013.74,-3.6880376838,-40.3486680337,True,True,True,True,4
Crato,2304202,Sul Cearense,131050,1060.11,-7.2317527899,-39.4083902978,True,True,False,True,3
Itapipoca,2306405,Norte Cearense,131123,720.4,-3.4994355,-39.5834815758,True,True,True,True,4
Maranguape,2307700,Metropolitana de Fortaleza,105093,833.02,-3.89186946,-38.6858512477,True,True,True,True,4
Iguatu,2305506,Centro-Sul Cearense,98064,1009.72,-6.36055472,-39.2999056782,True,True,False,True,3
Quixadá,2311306,Sertões Cearenses,84168,888.08,-4.9637,-39.0117446758,True,True,False,True,3
Canindé,2302800,Norte Cearense,74174,816.43,-4.3553442897,-39.3103429529,True,True,False,True,3
Crateús,2304103,Sertões Cearenses,76390,920.1,-5.1769505508,-40.6684001308,False,True,False,True,2
Aquiraz,2301000,Metropolitana de Fortaleza,80645,930.64,-3.9061945,-38.3898029589,True,True,False,True,3
Pacatuba,2309706,Metropolitana de Fortaleza,81524,862.29,-3.9861200223,-38.618299312,True,True,False,True,3
Quixeramobim,2311405,Sertões Cearenses,82177,853.65,-5.1984048374,-39.294354227,False,True,False,True,2
Russas,2311801,Jaguaribe,72928,867.47,-4.9397378154,-37.9754312969,True,True,False,True,3
Aracati,2301109,Jaguaribe,75113,904.09,-4.56706647,-37.7727525989,True,True,True,True,4
Tianguá,2313401,Noroeste Cearense,81506,844.1,-3.722674,-40.9917056227,True,False,True,True,3
Cascavel,2303501,Norte Cearense,72720,873.81,-4.1314336782,-38.2396859407,True,True,True,True,4
Icó,2305407,Centro-Sul Cearense,62642,706.4,-6.4030312519,-38.8630851789,False,True,False,True,2
Morada Nova,2308708,Jaguaribe,61443,842.15,-5.0969520002,-38.3649073451,True,True,False,True,3
Pacajus,2309607,Metropolitana de Fortaleza,70983,835.89,-4.17054051,-38.4670222649,True,True,False,True,3
Camocim,2302602,Noroeste Cearense,62326,731.25,-2.9009665746,-40.8475277409,False,True,False,True,2
Acaraú,2300200,Noroeste Cearense,65264,694.7,-2.8853105401,-40.1182414712,True,False,True,True,3
Limoeiro do Norte,2307601,Jaguaribe,59560,1128.21,-5.15023902,-38.0990948705,True,True,True,True,4
Tauá,2313302,Sertões Cearenses,61227,831.53,-6.0029989399,-40.2926246551,True,True,False,True,3
